layer,matrix_type,tensor_key,method,group_size,row_width,num_weights,number_of_scales,mse,zeroed_percent,average_scale,maximum_scale,mse_improvement_vs_global,zeroed_point_reduction
7,k_proj,model.layers.7.self_attn.k_proj.weight,grouped,16,2048,524288,32768,1.529128712718375e-05,12.022781372070312,0.01254317257553339,0.0689174085855484,24.48695231793972,52.052879333496094
7,o_proj,model.layers.7.self_attn.o_proj.weight,global,4194304,2048,4194304,1,0.0001599217066541314,91.69268608093262,0.0513392873108387,0.0513392873108387,1.0,0.0
7,o_proj,model.layers.7.self_attn.o_proj.weight,grouped,512,2048,4194304,8192,4.806533524970291e-06,20.196104049682617,0.007326181046664715,0.0513392873108387,33.27173436392912,71.49658203125
7,o_proj,model.layers.7.self_attn.o_proj.weight,grouped,256,2048,4194304,16384,4.052878011862049e-06,18.600034713745117,0.00675035547465086,0.0513392873108387,39.458800927654174,73.0926513671875
7,o_proj,model.layers.7.self_attn.o_proj.weight,grouped,128,2048,4194304,32768,3.3031915336323436e-06,16.758418083190918,0.006103886291384697,0.0513392873108387,48.41430023837402,74.9342679977417
7,o_proj,model.layers.7.self_attn.o_proj.weight,grouped,64,2048,4194304,65536,2.639126932990621e-06,14.853644371032715,0.005460090935230255,0.0513392873108387,60.596443715918745,76.8390417098999
7,o_proj,model.layers.7.self_attn.o_proj.weight,grouped,32,2048,4194304,131072,2.130659822796588e-06,13.370919227600098,0.004924658220261335,0.0513392873108387,75.05736248606166,78.32176685333252
7,o_proj,model.layers.7.self_attn.o_proj.weight,grouped,16,2048,4194304,262144,1.6340071624654229e-06,11.73086166381836,0.004349086433649063,0.0513392873108387,97.87087249534349,79.96182441711426
7,q_proj,model.layers.7.self_attn.q_proj.weight,global,4194304,2048,4194304,1,0.00038701508310623467,89.01219367980957,0.0814732164144516,0.0814732164144516,1.0,0.0
7,q_proj,model.layers.7.self_attn.q_proj.weight,grouped,512,2048,4194304,8192,1.6245960068772547e-05,20.235705375671387,0.012466652318835258,0.0814732164144516,23.822235279904596,68.77648830413818
7,q_proj,model.layers.7.self_attn.q_proj.weight,grouped,256,2048,4194304,16384,1.3472753380483482e-05,18.558549880981445,0.011411570012569427,0.0814732164144516,28.72576021964905,70.45364379882812
7,q_proj,model.layers.7.self_attn.q_proj.weight,grouped,128,2048,4194304,32768,1.1121398529212456e-05,17.036747932434082,0.010435152798891068,0.0814732164144516,34.79913808408775,71.97544574737549
7,q_proj,model.layers.7.self_attn.q_proj.weight,grouped,64,2048,4194304,65536,9.027024134411477e-06,15.44499397277832,0.009448511525988579,0.0814732164144516,42.87294210623781,73.56719970703125
7,q_proj,model.layers.7.self_attn.q_proj.weight,grouped,32,2048,4194304,131072,7.122363967937417e-06,13.787174224853516,0.008443605154752731,0.0814732164144516,54.338009802426775,75.22501945495605
7,q_proj,model.layers.7.self_attn.q_proj.weight,grouped,16,2048,4194304,262144,5.364541721064597e-06,12.011551856994629,0.00740477629005909,0.0814732164144516,72.14317703720482,77.00064182281494
7,up_proj,model.layers.7.mlp.up_proj.weight,global,11534336,2048,11534336,1,0.0001928551064338535,88.73265873302113,0.0532924123108387,0.0532924123108387,1.0,0.0
7,up_proj,model.layers.7.mlp.up_proj.weight,grouped,512,2048,11534336,22528,5.834715466335183e-06,19.818531383167613,0.008196715265512466,0.0532924123108387,33.053043896755234,68.91412734985352
7,up_proj,model.layers.7.mlp.up_proj.weight,grouped,256,2048,11534336,45056,4.999460088583874e-06,18.41589320789684,0.007610530126839876,0.0532924123108387,38.57518672350895,70.31676552512428
7,up_proj,model.layers.7.mlp.up_proj.weight,grouped,128,2048,11534336,90112,4.2184192352578975e-06,16.939509998668324,0.007006631698459387,0.0532924123108387,45.717387409471904,71.7931487343528
7,up_proj,model.layers.7.mlp.up_proj.weight,grouped,64,2048,11534336,180224,3.4813826914614765e-06,15.398519689386541,0.006379615981131792,0.0532924123108387,55.3961237604974,73.33413904363458
7,up_proj,model.layers.7.mlp.up_proj.weight,grouped,32,2048,11534336,360448,2.7856824544869596e-06,13.777117295698686,0.005727473180741072,0.0532924123108387,69.2308292796322,74.95554143732244
7,up_proj,model.layers.7.mlp.up_proj.weight,grouped,16,2048,11534336,720896,2.1198015929257963e-06,12.018585205078125,0.005038212053477764,0.0532924123108387,90.97790428946263,76.714073527943
7,v_proj,model.layers.7.self_attn.v_proj.weight,global,524288,2048,524288,1,1.6135927580762655e-05,44.90222930908203,0.014020646922290325,0.014020646922290325,1.0,0.0
7,v_proj,model.layers.7.self_attn.v_proj.weight,grouped,512,2048,524288,1024,3.320903715575696e-06,20.64666748046875,0.006136502604931593,0.014020646922290325,4.858896542252026,24.25556182861328
7,v_proj,model.layers.7.self_attn.v_proj.weight,grouped,256,2048,524288,2048,2.9008779165451415e-06,19.36798095703125,0.00573068019002676,0.014020646922290325,5.56242904561115,25.53424835205078
7,v_proj,model.layers.7.self_attn.v_proj.weight,grouped,128,2048,524288,4096,2.4805040084174834e-06,17.928695678710938,0.005296735092997551,0.014020646922290325,6.50510038524674,26.973533630371094
7,v_proj,model.layers.7.self_attn.v_proj.weight,grouped,64,2048,524288,8192,2.0714246602437925e-06,16.488265991210938,0.0048468997702002525,0.014020646922290325,7.789772850760388,28.413963317871094
7,v_proj,model.layers.7.self_attn.v_proj.weight,grouped,32,2048,524288,16384,1.6686083199601853e-06,14.872550964355469,0.004360967315733433,0.014020646922290325,9.670290737341928,30.029678344726562
7,v_proj,model.layers.7.self_attn.v_proj.weight,grouped,16,2048,524288,32768,1.2719262940663612e-06,13.069343566894531,0.0038385726511478424,0.014020646922290325,12.68621275936983,31.8328857421875
8,down_proj,model.layers.8.mlp.down_proj.weight,global,11534336,5632,11534336,1,0.0002868937444873154,99.36174045909534,0.0948660746216774,0.0948660746216774,1.0,0.0
8,down_proj,model.layers.8.mlp.down_proj.weight,grouped,512,5632,11534336,22528,6.2344765865418594e-06,19.56830458207564,0.008358929306268692,0.0948660746216774,46.0172943959117,79.7934358770197
8,down_proj,model.layers.8.mlp.down_proj.weight,grouped,256,5632,11534336,45056,5.242828592599835e-06,18.10327009721236,0.007724447641521692,0.0948660746216774,54.72117568219971,81.25847036188298
8,down_proj,model.layers.8.mlp.down_proj.weight,grouped,128,5632,11534336,90112,4.371628165245056e-06,16.62771051580256,0.007096556015312672,0.0948660746216774,65.62629154239454,82.73402994329278
8,down_proj,model.layers.8.mlp.down_proj.weight,grouped,64,5632,11534336,180224,3.5928426314058015e-06,15.126592462713068,0.006462362129241228,0.0948660746216774,79.85146412467837,84.23514799638228
8,down_proj,model.layers.8.mlp.down_proj.weight,grouped,32,5632,11534336,360448,2.8725908123306e-06,13.562349839643998,0.005807623267173767,0.0948660746216774,99.87281977503501,85.79939061945134
8,down_proj,model.layers.8.mlp.down_proj.weight,grouped,16,5632,11534336,720896,2.1896719317737734e-06,11.860266598788174,0.005116695072501898,0.0948660746216774,131.02133718036623,87.50147386030717
8,gate_proj,model.layers.8.mlp.gate_proj.weight,global,11534336,2048,11534336,1,0.0003298609226476401,94.09541216763583,0.0764508917927742,0.0764508917927742,1.0,0.0
8,gate_proj,model.layers.8.mlp.gate_proj.weight,grouped,512,2048,11534336,22528,8.123293810058385e-06,19.170362299138848,0.009637094102799892,0.0764508917927742,40.60679452948031,74.92504986849698
8,gate_proj,model.layers.8.mlp.gate_proj.weight,grouped,256,2048,11534336,45056,6.996272986725671e-06,17.837134274569426,0.008961754851043224,0.0764508917927742,47.14809203035664,76.2582778930664
8,gate_proj,model.layers.8.mlp.gate_proj.weight,grouped,128,2048,11534336,90112,5.9285298448230606e-06,16.464007984508168,0.008268390782177448,0.0764508917927742,55.63958203494292,77.63140418312766
